Coin,Time Frame,Ljung-Box,Breusch-Godfrey,Lag
BTC,1m,Not Autocorrelated,Not Autocorrelated,61
BTC,1m,Not Autocorrelated,Not Autocorrelated,62
BTC,1m,Not Autocorrelated,Not Autocorrelated,63
BTC,1m,Not Autocorrelated,Not Autocorrelated,64
BTC,1m,Not Autocorrelated,Not Autocorrelated,65
BTC,1m,Not Autocorrelated,Not Autocorrelated,66
BTC,1m,Not Autocorrelated,Not Autocorrelated,67
BTC,1m,Not Autocorrelated,Not Autocorrelated,68
BTC,1m,Not Autocorrelated,Not Autocorrelated,69
BTC,1m,Not Autocorrelated,Not Autocorrelated,70
BTC,1m,Not Autocorrelated,Not Autocorrelated,71
BTC,1m,Not Autocorrelated,Not Autocorrelated,72
BTC,1m,Not Autocorrelated,Not Autocorrelated,73
BTC,1m,Not Autocorrelated,Not Autocorrelated,74
BTC,1m,Not Autocorrelated,Not Autocorrelated,75
BTC,1m,Not Autocorrelated,Not Autocorrelated,76
